Variable,hhid,personid,respondent,cohort,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1k,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn5a,qn5b,qn5c,qn6a,qn6b,qn7,qn8a,qn8b,qn9,qn10a,qn10b,qn11a,qn11aa,qn12,qn13,qn18a,qn18b,qn18c,qn18d01,qn18dmnth,qn18dyear,qn18e,qn19b,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn26b,qn26d,qn26e,qn26estate,qn26f,qn26h,qn27a,qn27b01,qn27bmnth,qn27byear,qn27c,qn28a,qn28b,qn29b,qn29c,qn29c_months,Weight_person,Weight_person_pop,Weight_person_R1,Weight_person_R2,Weight_person_R3,Weight_person_R4,Weight_person_R5,Weight_person_R6,Weight_person_R7,Weight_person_R8,Weight_person_R9,Weight_person_R10,Weight_person_R11,Weight_person_R12,Weight_person_R13,Weight_person_R14,Weight_person_R15,Weight_person_R16,Weight_person_R17,Weight_person_R18,Weight_person_R19,Weight_person_R20,Weight_person_R21,Weight_person_R22,Weight_person_R23,Weight_person_pop_R1,Weight_person_pop_R2,Weight_person_pop_R3,Weight_person_pop_R4,Weight_person_pop_R5,Weight_person_pop_R6,Weight_person_pop_R7,Weight_person_pop_R8,Weight_person_pop_R9,Weight_person_pop_R10,Weight_person_pop_R11,Weight_person_pop_R12,Weight_person_pop_R13,Weight_person_pop_R14,Weight_person_pop_R15,Weight_person_pop_R16,Weight_person_pop_R17,Weight_person_pop_R18,Weight_person_pop_R19,Weight_person_pop_R20,Weight_person_pop_R21,Weight_person_pop_R22,Weight_person_pop_R23,qn30a,qn30d,qn31a,qn31d,qn31e,qn31f,qn31f_months,qn32a,qn32d,qn32e,qn33a,qn33d,qn33e,qn33f,qn33f_months,qn34a,qn34d,qn34e,qn34f,qn34f_months,qn35a,qn38a,qn38b,qn38c,ui_soi_pubassist,ui_soi,Weight_household,Weight_household_pop,Weight_household_R1,Weight_household_R2,Weight_household_R3,Weight_household_R4,Weight_household_R5,Weight_household_R6,Weight_household_R7,Weight_household_R8,Weight_household_R9,Weight_household_R10,Weight_household_R11,Weight_household_R12,Weight_household_R13,Weight_household_R14,Weight_household_R15,Weight_household_R16,Weight_household_R17,Weight_household_R18,Weight_household_R19,Weight_household_R20,Weight_household_R21,Weight_household_R22,Weight_household_R23,Weight_household_pop_R1,Weight_household_pop_R2,Weight_household_pop_R3,Weight_household_pop_R4,Weight_household_pop_R5,Weight_household_pop_R6,Weight_household_pop_R7,Weight_household_pop_R8,Weight_household_pop_R9,Weight_household_pop_R10,Weight_household_pop_R11,Weight_household_pop_R12,Weight_household_pop_R13,Weight_household_pop_R14,Weight_household_pop_R15,Weight_household_pop_R16,Weight_household_pop_R17,Weight_household_pop_R18,Weight_household_pop_R19,Weight_household_pop_R20,Weight_household_pop_R21,Weight_household_pop_R22,Weight_household_pop_R23,ui_agect_arrival,qn17_01,qn17_02,qn17_03,qn17_04,qn17_05,qn17_06,qn17_07,qn17_08,qn17_97,qn26ha_01,qn26ha_02,qn26ha_03,qn26ha_04,qn26ha_05,qn26ha_06,qn26ha_07,qn26ha_08,qn26ha_97,qn29a_01,qn29a_02,qn29a_03,qn29a_04,qn29a_05,qn29a_06,qn29a_07,qn29a_08,qn29a_09,qn29a_10,qn29a_11,qn29a_12,qn29a_97,qn29d_01,qn29d_02,qn29d_03,qn29d_04,qn29d_97,qn30b_01,qn30b_02,qn30b_03,qn30b_04,qn30b_05,qn31b_01,qn31b_02,qn31b_03,qn31b_04,qn31b_05,qn32b_01,qn32b_02,qn32b_03,qn32b_04,qn32b_05,qn33b_01,qn33b_02,qn33b_03,qn33b_04,qn33b_05,qn34b_01,qn34b_02,qn34b_03,qn34b_04,qn34b_05,ui_qn8a_annual,ui_qn10a_annual,ui_cashassist,ui_lfp,ui_emprate,ui_medicaidrma,ui_lpr,ui_school,ui_work
Label,unique household id,unique person id,binary indicator: survey respondent or household member,cohort of arrival in us,"1a. let's start with you. not counting you, tell me the names of each person who",number of people in household (up to 5),1b. what is this person's relationship to the head of household?,1c. what is this person's current marital status?,1d. what was this person's age at last birthday?,1f. is this person male or female?,1g. what is this person's country of birth?,1h. what is this person's country of citizenship?,1i. what is this person's ethnic origin?,1j. what month and year did this person enter the u.s. to stay?,1k. in what state did this person originally resettle?,1l. is this person a refugee who has entered the u.s. between 2013 and 2017?,2a. how many years of schooling did this person complete before coming to the u.,2b. what was the highest degree or certificate that this person obtained before,"3a. before coming to the u.s., was this person (#1):",3b. what kind of work (activities) did this person perform before coming to the,"4a. at the time of arrival in the u.s., how well did this person speak english?",4b. how well does this person speak english now?,4c. before coming to the u.s. did this person have any english language instruct,"4e. within the past 12 months, has this person attended an english language trai",4j. is this person currently enrolled in an english language training program?,5a. did this person work at a job anytime last week?,5b. did this person work at more than one job last week?,5c. how many jobs did this person work at last week?,6a. how many hours did this person work at his/her primary job last week?,6b. how many hours did this person work at all jobs last week?,7. how much money per hour did this person receive at his/her primary job last w,8a. how much did this person earn before taxes from that job?,8b. on what basis is that amount computed?,9. how much money per hour did this person receive from his/her second job last,10a. how much did this person earn before taxes from that job?,10b. on what basis is that amount computed?,11a. has this person ever worked since coming to the u.s. to stay?,11aa. how many weeks has it been since this person had a job?,12. was this person temporarily absent or on layoff from a job or business last,13. has this person been looking for work during the last 4 weeks?,"18a. in the last year, how many weeks did this person work?",18b. how many hours per week did this person usually work?,18c. what were this person's total earnings before taxes from all jobs in the pa,18d. when did this person get his/her first job in the u.s.?,18d. when did this person get his/her first job in the u.s.?,18d. when did this person get his/her first job in the u.s.?,18e. did the income that this person received from his/her first job disqualify,19b. what kind of business or industry is this?,20. (is/was) this person a:,"24a. within the past 12 months, has this person attended any job training progra",24b. how many weeks did that training last?,"25a. within the past 12 months, has this person attended school or university?",25b. was this person attending school or university in order to obtain a degree,25c. what degree or certificate was this person attempting to earn?,25d. has this person received this degree or certificate?,26b. how many months has this person lived at this residence/neighborhood?,26d. did this person live in this state a year ago?,26e. in which state did this person live a year ago?,26e. in which state did this person live a year ago? specify state,26f. what was the primary reason that this person moved to this state?,26h. does this person participate in their children's education?,27a. has this person applied to adjust his/her immigration status to that of a p,27b. when did this person apply for adjustment to permanent resident status?,27b. when did this person apply for adjustment to permanent resident status?,27b. when did this person apply for adjustment to permanent resident status?,27c. does this person plan to adjust his/her immigration status in the future?,"28a. does this person have a physical, mental, or other health condition that ha","28b. does this person have a physical, mental, or other health condition that ha",29b. what is this person's usual source of medical care?,"29c. in the past 12 months, was this person covered either by refugee medical as","29c. in the past 12 months, was this person covered either by refugee medical as","weight for person level analysis (sums to sample size of 3,877)","weight for person level analysis (sums to full pop of 301,121)",replicate weight 1 to est standard errors when weighting by weight_person,replicate weight 2 to est standard errors when weighting by weight_person,replicate weight 3 to est standard errors when weighting by weight_person,replicate weight 4 to est standard errors when weighting by weight_person,replicate weight 5 to est standard errors when weighting by weight_person,replicate weight 6 to est standard errors when weighting by weight_person,replicate weight 7 to est standard errors when weighting by weight_person,replicate weight 8 to est standard errors when weighting by weight_person,replicate weight 9 to est standard errors when weighting by weight_person,replicate weight 10 to est standard errors when weighting by weight_person,replicate weight 11 to est standard errors when weighting by weight_person,replicate weight 12 to est standard errors when weighting by weight_person,replicate weight 13 to est standard errors when weighting by weight_person,replicate weight 14 to est standard errors when weighting by weight_person,replicate weight 15 to est standard errors when weighting by weight_person,replicate weight 16 to est standard errors when weighting by weight_person,replicate weight 17 to est standard errors when weighting by weight_person,replicate weight 18 to est standard errors when weighting by weight_person,replicate weight 19 to est standard errors when weighting by weight_person,replicate weight 20 to est standard errors when weighting by weight_person,replicate weight 21 to est standard errors when weighting by weight_person,replicate weight 22 to est standard errors when weighting by weight_person,replicate weight 23 to est standard errors when weighting by weight_person,replicate weight 1 to est standard errors when weighting by weight_person_pop,replicate weight 2 to est standard errors when weighting by weight_person_pop,replicate weight 3 to est standard errors when weighting by weight_person_pop,replicate weight 4 to est standard errors when weighting by weight_person_pop,replicate weight 5 to est standard errors when weighting by weight_person_pop,replicate weight 6 to est standard errors when weighting by weight_person_pop,replicate weight 7 to est standard errors when weighting by weight_person_pop,replicate weight 8 to est standard errors when weighting by weight_person_pop,replicate weight 9 to est standard errors when weighting by weight_person_pop,replicate weight 10 to est standard errors when weighting by weight_person_pop,replicate weight 11 to est standard errors when weighting by weight_person_pop,replicate weight 12 to est standard errors when weighting by weight_person_pop,replicate weight 13 to est standard errors when weighting by weight_person_pop,replicate weight 14 to est standard errors when weighting by weight_person_pop,replicate weight 15 to est standard errors when weighting by weight_person_pop,replicate weight 16 to est standard errors when weighting by weight_person_pop,replicate weight 17 to est standard errors when weighting by weight_person_pop,replicate weight 18 to est standard errors when weighting by weight_person_pop,replicate weight 19 to est standard errors when weighting by weight_person_pop,replicate weight 20 to est standard errors when weighting by weight_person_pop,replicate weight 21 to est standard errors when weighting by weight_person_pop,replicate weight 22 to est standard errors when weighting by weight_person_pop,replicate weight 23 to est standard errors when weighting by weight_person_pop,"30a. in the past 12 months, have one or more persons in your household received",30d. how many months in the past 12 months were food stamps received?,"31a. in the past 12 months, have one or more persons in your household received",31d. how many months in the past 12 months was the tanf received?,"31e. in the last month, was tanf received?","31f. since coming to the united states, in how many months have one or more pers","q31f. since coming to the united states, in how many months have one or more per","32a. in the past 12 months, have one or more persons in your household received",32d. how many months in the past 12 months was rca received?,"32e. in the last month, was rca received?","33a. in the past 12 months, have one or more persons in your household received",33d. how many months in the past 12 months was ssi received?,"33e. in the last month, was ssi received?","33f. since coming to the u.s., in how many months have one or more persons in yo","q33f. since coming to the u.s., in how many months have one or more persons in y","34a. in the past 12 months, have one or more persons in your household received",34d. how many months in the past 12 months was ga received?,"34e. in the last month, was ga received?","34f. since coming to the u.s., in how many months have one or more persons in yo","q34f. since coming to the u.s., in how many months have one or more persons in y",35a. in the past 12 months; have one or more persons in your household received,38a. is this house or apartment...?,38b. how much is the total monthly payment for this housing unit?,"38c. is this housing unit in a public housing project, that is, is it owned by a",ui: source of income: public assistance,ui: source of income,"weight for household level analysis (sums to sample size of 1,506)","weight for household level analysis (sums to full pop of 118,403)",replicate weight 1 to est standard errors when weighting by weight_household,replicate weight 2 to est standard errors when weighting by weight_household,replicate weight 3 to est standard errors when weighting by weight_household,replicate weight 4 to est standard errors when weighting by weight_household,replicate weight 5 to est standard errors when weighting by weight_household,replicate weight 6 to est standard errors when weighting by weight_household,replicate weight 7 to est standard errors when weighting by weight_household,replicate weight 8 to est standard errors when weighting by weight_household,replicate weight 9 to est standard errors when weighting by weight_household,replicate weight 10 to est standard errors when weighting by weight_household,replicate weight 11 to est standard errors when weighting by weight_household,replicate weight 12 to est standard errors when weighting by weight_household,replicate weight 13 to est standard errors when weighting by weight_household,replicate weight 14 to est standard errors when weighting by weight_household,replicate weight 15 to est standard errors when weighting by weight_household,replicate weight 16 to est standard errors when weighting by weight_household,replicate weight 17 to est standard errors when weighting by weight_household,replicate weight 18 to est standard errors when weighting by weight_household,replicate weight 19 to est standard errors when weighting by weight_household,replicate weight 20 to est standard errors when weighting by weight_household,replicate weight 21 to est standard errors when weighting by weight_household,replicate weight 22 to est standard errors when weighting by weight_household,replicate weight 23 to est standard errors when weighting by weight_household,replicate weight 1 to est standard errors when weighting by weight_household_pop,replicate weight 2 to est standard errors when weighting by weight_household_pop,replicate weight 3 to est standard errors when weighting by weight_household_pop,replicate weight 4 to est standard errors when weighting by weight_household_pop,replicate weight 5 to est standard errors when weighting by weight_household_pop,replicate weight 6 to est standard errors when weighting by weight_household_pop,replicate weight 7 to est standard errors when weighting by weight_household_pop,replicate weight 8 to est standard errors when weighting by weight_household_pop,replicate weight 9 to est standard errors when weighting by weight_household_pop,replicate weight 10 to est standard errors when weighting by weight_household_po,replicate weight 11 to est standard errors when weighting by weight_household_po,replicate weight 12 to est standard errors when weighting by weight_household_po,replicate weight 13 to est standard errors when weighting by weight_household_po,replicate weight 14 to est standard errors when weighting by weight_household_po,replicate weight 15 to est standard errors when weighting by weight_household_po,replicate weight 16 to est standard errors when weighting by weight_household_po,replicate weight 17 to est standard errors when weighting by weight_household_po,replicate weight 18 to est standard errors when weighting by weight_household_po,replicate weight 19 to est standard errors when weighting by weight_household_po,replicate weight 20 to est standard errors when weighting by weight_household_po,replicate weight 21 to est standard errors when weighting by weight_household_po,replicate weight 22 to est standard errors when weighting by weight_household_po,replicate weight 23 to est standard errors when weighting by weight_household_po,ui: age at arrival,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,17. why is this person not looking for a job?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,26h. does this person participate in their children's education?,"29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?","29a. during the past 12 months, how were this person's medical expenses paid?",29d. what type of health insurance coverage did this person have in the past 12,29d. what type of health insurance coverage did this person have in the past 12,29d. what type of health insurance coverage did this person have in the past 12,29d. what type of health insurance coverage did this person have in the past 12,29d. what type of health insurance coverage did this person have in the past 12,30b. who received them?,30b. who received them?,30b. who received them?,30b. who received them?,30b. who received them?,31b. which household members received such assistance?,31b. which household members received such assistance?,31b. which household members received such assistance?,31b. which household members received such assistance?,31b. which household members received such assistance?,32b. which household members received such assistance?,32b. which household members received such assistance?,32b. which household members received such assistance?,32b. which household members received such assistance?,32b. which household members received such assistance?,33b. which household members received such assistance?,33b. which household members received such assistance?,33b. which household members received such assistance?,33b. which household members received such assistance?,33b. which household members received such assistance?,34b. which household members received such assistance?,34b. which household members received such assistance?,34b. which household members received such assistance?,34b. which household members received such assistance?,34b. which household members received such assistance?,ui: qn8a responses converted to annual earnings,ui: qn10a responses converted to annual earnings,ui: household receipt of cash assistance,ui: labor force participation,ui: employment rate,ui: receipt of rma/medicaid,ui: legal permanent residency status,ui: adults' education pursuit in the u.s.,ui: work status
,2,22,0,3,2,5,11,,998.00,2,3,98,20,2014,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,,,8,,1,,,1,,,2,,1,,,2,,1,2,99998.00,1,1,3,0.44,34.70,,0.44,0.45,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.42,0.48,0.47,0.45,0.44,0.45,,36.39,37.22,35.84,35.38,35.49,36.91,36.98,35.73,36.57,36.18,37.39,35.97,35.61,35.84,35.75,35.80,34.86,39.56,39.26,36.22,35.02,35.64,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2,23,0,3,3,5,11,,998.00,1,3,98,20,2014,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,,,8,,1,,,1,,,2,,1,,,2,,1,2,99998.00,1,1,3,0.44,34.70,,0.44,0.45,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.42,0.48,0.47,0.45,0.44,0.45,,36.39,37.22,35.84,35.38,35.49,36.91,36.98,35.73,36.57,36.18,37.39,35.97,35.61,35.84,35.75,35.80,34.86,39.56,39.26,36.22,35.02,35.64,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2,25,0,3,5,5,11,,7.00,2,3,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,,,8,,1,,,1,,,2,,1,,,2,,1,2,99998.00,1,1,3,0.44,34.70,,0.44,0.45,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.42,0.48,0.47,0.45,0.44,0.45,,36.39,37.22,35.84,35.38,35.49,36.91,36.98,35.73,36.57,36.18,37.39,35.97,35.61,35.84,35.75,35.80,34.86,39.56,39.26,36.22,35.02,35.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2,24,0,3,4,5,11,,8.00,1,3,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,,,8,,1,,,1,,,2,,1,,,2,,1,2,99998.00,1,1,3,0.44,34.70,,0.44,0.45,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.42,0.48,0.47,0.45,0.44,0.45,,36.39,37.22,35.84,35.38,35.49,36.91,36.98,35.73,36.57,36.18,37.39,35.97,35.61,35.84,35.75,35.80,34.86,39.56,39.26,36.22,35.02,35.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2,21,1,3,1,5,1,4,30.00,2,3,3,20,2018,1,,17,5,97,97,2,2,2,2,2,2,1,,40,,12.50,,,,,,,,,,16,40,7000.00,1,10,2018,2,97,1,1,,2,2,7,1,11,1,2,1,13,7,1,,,,2,1,1,7,1,,0.10,7.71,,0.10,0.10,0.11,0.09,0.10,0.10,0.10,0.09,0.10,0.11,0.10,0.10,0.09,0.10,0.10,0.10,0.09,0.10,0.11,0.10,0.10,0.10,,7.99,7.84,8.63,7.20,8.09,8.15,8.25,7.46,8.35,8.73,8.54,7.95,7.47,7.82,7.94,7.87,7.62,8.11,8.65,8.00,7.71,8.03,2,6,1,,,8,,1,,,1,,,2,,1,,,2,,1,2,99998.00,1,1,3,0.44,34.70,,0.44,0.45,0.43,0.43,0.43,0.45,0.45,0.43,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.42,0.48,0.47,0.45,0.44,0.45,,36.39,37.22,35.84,35.38,35.49,36.91,36.98,35.73,36.57,36.18,37.39,35.97,35.61,35.84,35.75,35.80,34.86,39.56,39.26,36.22,35.02,35.64,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,7,1
,3,33,0,3,3,4,6,,999.00,1,22,22,35,2017,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,16.03,,0.20,0.20,0.21,0.20,0.20,0.22,0.20,0.20,0.21,0.20,0.20,0.16,0.19,0.20,0.22,0.21,0.21,0.21,0.20,0.20,0.21,0.21,,16.08,16.54,17.43,16.51,16.60,17.48,16.21,16.47,17.06,16.22,16.39,13.04,15.80,15.86,18.28,16.76,17.04,17.19,16.11,16.18,16.25,16.12,1,,1,,,3,6,1,,,1,,,2,,1,,,3,6,1,1,1520.00,1,2,7,0.17,13.64,,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,,14.73,14.90,14.45,13.71,14.11,14.70,14.63,14.48,14.75,13.66,14.36,14.36,13.67,14.69,14.67,14.07,13.95,13.81,14.81,14.42,13.79,13.63,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,3,34,0,3,4,4,6,4,21.00,1,22,22,35,2017,1,2,99,5,99,97,3,2,1,1,,1,,,,,,,,,,,2,6,3,2,98,40,999998.00,8,,,8,6,1,1,,1,,,,3,2,,,3,7,1,,,,3,2,8,2,8,,0.21,16.03,,0.20,0.20,0.21,0.20,0.20,0.22,0.20,0.20,0.21,0.20,0.20,0.16,0.19,0.20,0.22,0.21,0.21,0.21,0.20,0.20,0.21,0.21,,16.08,16.54,17.43,16.51,16.60,17.48,16.21,16.47,17.06,16.22,16.39,13.04,15.80,15.86,18.28,16.76,17.04,17.19,16.11,16.18,16.25,16.12,1,,1,,,3,6,1,,,1,,,2,,1,,,3,6,1,1,1520.00,1,2,7,0.17,13.64,,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,,14.73,14.90,14.45,13.71,14.11,14.70,14.63,14.48,14.75,13.66,14.36,14.36,13.67,14.69,14.67,14.07,13.95,13.81,14.81,14.42,13.79,13.63,2,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,999,999,0,2
,3,32,0,3,2,4,5,5,59.00,2,22,22,35,2017,1,2,99,4,1,,4,3,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,3,2,,,3,1,1,,,,3,2,2,1,2,10,0.13,10.20,,0.13,0.13,0.14,0.13,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.13,,10.27,10.71,11.44,10.25,11.00,11.43,9.99,10.51,10.60,10.63,10.51,8.56,9.61,9.90,11.45,11.32,10.95,10.66,9.52,10.54,10.33,10.23,1,,1,,,3,6,1,,,1,,,2,,1,,,3,6,1,1,1520.00,1,2,7,0.17,13.64,,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,,14.73,14.90,14.45,13.71,14.11,14.70,14.63,14.48,14.75,13.66,14.36,14.36,13.67,14.69,14.67,14.07,13.95,13.81,14.81,14.42,13.79,13.63,5,1,0,0,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,999,0,3
,3,31,1,3,1,4,1,4,39.00,2,22,22,35,2017,1,,8,97,1,,4,3,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,2,98,1,,,,3,2,,,3,7,1,,,,3,2,2,2,1,,0.12,9.59,,0.13,0.12,0.13,0.11,0.13,0.12,0.11,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,,10.43,9.92,10.37,8.97,10.36,10.13,9.23,10.19,10.77,9.59,10.35,9.31,9.66,9.80,10.96,10.61,9.35,10.43,9.73,9.40,9.54,9.58,1,,1,,,3,6,1,,,1,,,2,,1,,,3,6,1,1,1520.00,1,2,7,0.17,13.64,,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.17,,14.73,14.90,14.45,13.71,14.11,14.70,14.63,14.48,14.75,13.66,14.36,14.36,13.67,14.69,14.67,14.07,13.95,13.81,14.81,14.42,13.79,13.63,3,0,0,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,999,0,3
