,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
1,998.0,2,2.5008455467869224,98,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
2,998.0,1,2.5008455467869224,98,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
3,7.0,2,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
4,8.0,1,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
5,30.0,2,4.0,3,5.0,2.0,2.0,2.0,2018.0,2.0,1.0
6,999.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
7,21.0,1,4.0,22,5.0,2.0,1.0,1.0,2017.0,999.0,2.0
8,59.0,2,5.0,22,4.0,3.0,1.0,1.0,2017.0,999.0,3.0
9,39.0,2,4.0,22,97.0,3.0,1.0,1.0,2017.0,999.0,3.0
10,36.0,1,4.0,97,1.0,2.0,2.0,1.0,2015.0,1.0,1.0
11,3.0,1,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
12,7.0,1,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
13,998.0,2,1.0,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2015.0,13.358652575957727,5.712727272727273
14,42.0,1,1.0,10,97.0,2.0,2.0,1.0,2015.0,1.0,1.0
15,63.0,2,1.0,97,5.0,4.0,2.0,2.0,2017.0,1.0,3.0
16,30.0,2,4.0,97,5.0,3.0,2.0,2.0,2017.0,1.0,1.0
17,65.0,1,1.0,97,4.0,4.0,1.0,2.0,2017.0,1.0,3.0
18,33.0,1,2.0,97,5.0,4.0,2.0,1.0,2017.0,1.0,3.0
19,45.0,2,1.0,6,1.0,4.0,1.0,1.0,2017.0,1.0,3.0
20,20.0,2,4.0,6,4.0,1.0,1.0,1.0,2017.0,1.0,3.0
21,50.0,1,1.0,6,6.0,2.0,1.0,2.0,2017.0,1.0,1.0
22,19.0,1,4.0,6,2.0,1.0,1.0,6.0,2017.0,1.0,3.0
23,22.0,2,4.0,9,97.0,1.0,2.0,2.0,2016.0,999.0,2.0
24,4.0,2,2.5008455467869224,9,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
25,57.0,1,1.0,9,6.0,2.0,2.0,2.0,2016.0,3.0,1.0
26,45.0,2,1.0,9,5.0,2.0,2.0,2.0,2016.0,999.0,1.0
